Temperature,RMS,Peak,Health,Efficiency,Status,FaultType
34.85,0.293,0.442,80.3,94.7,HEALTHY,Healthy
43.41,0.444,0.72,50.8,81.9,WARNING,Misalignment
39.82,0.408,0.649,61.4,86.9,WARNING,Misalignment
34.66,0.218,0.33,85.3,96.1,HEALTHY,Healthy
33.0,0.265,0.401,82.2,95.2,HEALTHY,Healthy
51.7,0.54,0.913,25.2,70.2,CRITICAL,Misalignment
34.89,0.275,0.414,81.6,95.1,HEALTHY,Healthy
32.19,0.184,0.28,87.6,96.7,HEALTHY,Healthy
34.82,0.191,0.289,87.2,96.6,HEALTHY,Healthy
33.55,0.24,0.365,83.8,95.7,HEALTHY,Healthy
28.71,0.266,0.403,82.1,95.2,HEALTHY,Healthy
31.63,0.212,0.321,85.7,96.2,HEALTHY,Healthy
32.38,0.182,0.275,87.8,96.7,HEALTHY,Healthy
32.22,0.278,0.422,81.3,95.0,HEALTHY,Healthy
30.16,0.172,0.262,88.4,96.9,HEALTHY,Healthy
31.1,0.262,0.398,82.3,95.3,HEALTHY,Healthy
33.34,0.249,0.378,83.2,95.5,HEALTHY,Healthy
28.25,0.263,0.398,82.3,95.3,HEALTHY,Healthy
31.66,0.199,0.301,86.6,96.4,HEALTHY,Healthy
47.36,0.626,0.977,30.2,73.9,CRITICAL,Bearing
51.63,0.606,0.952,22.0,69.1,CRITICAL,Misalignment
31.86,0.207,0.314,86.1,96.3,HEALTHY,Healthy
34.21,0.23,0.349,84.5,95.9,HEALTHY,Healthy
34.44,0.236,0.359,84.1,95.7,HEALTHY,Healthy
29.36,0.179,0.271,88.0,96.8,HEALTHY,Healthy
28.21,0.261,0.397,82.4,95.3,HEALTHY,Healthy
28.67,0.193,0.294,87.0,96.5,HEALTHY,Healthy
52.33,0.628,1.077,17.4,67.9,CRITICAL,Critical
35.86,0.256,0.387,80.9,94.3,HEALTHY,Healthy
32.25,0.238,0.359,84.0,95.7,HEALTHY,Healthy
34.04,0.199,0.301,86.6,96.4,HEALTHY,Healthy
54.68,0.658,1.116,10.3,64.5,CRITICAL,Critical
49.46,0.546,0.892,30.3,72.8,CRITICAL,Misalignment
33.49,0.229,0.347,84.6,95.9,HEALTHY,Healthy
52.15,0.722,1.224,11.4,66.4,CRITICAL,Critical
28.77,0.184,0.282,87.6,96.7,HEALTHY,Healthy
29.1,0.278,0.42,81.3,95.0,HEALTHY,Healthy
40.53,0.334,0.517,65.2,87.3,WARNING,Bearing
30.41,0.231,0.35,84.5,95.8,HEALTHY,Healthy
40.76,0.407,0.647,59.4,85.8,WARNING,Misalignment
35.34,0.173,0.265,87.5,96.5,HEALTHY,Healthy
54.33,0.751,1.257,4.8,63.3,CRITICAL,Critical
39.57,0.657,0.974,46.2,82.7,WARNING,Imbalance
29.37,0.229,0.348,84.6,95.9,HEALTHY,Healthy
40.11,0.384,0.599,62.6,87.0,WARNING,Bearing
28.32,0.281,0.425,81.1,94.9,HEALTHY,Healthy
34.73,0.271,0.409,81.8,95.1,HEALTHY,Healthy
40.79,0.379,0.58,61.6,86.2,WARNING,Bearing
51.4,0.723,1.213,13.2,67.3,CRITICAL,Critical
41.89,0.344,0.56,61.0,85.5,WARNING,Misalignment
30.1,0.259,0.39,82.6,95.3,HEALTHY,Healthy
28.77,0.166,0.253,88.8,97.0,HEALTHY,Healthy
51.85,0.683,1.155,14.8,67.5,CRITICAL,Critical
34.77,0.273,0.414,81.6,95.1,HEALTHY,Healthy
35.56,0.622,0.92,57.3,88.1,WARNING,Imbalance
37.09,0.636,0.959,52.7,86.0,WARNING,Imbalance
38.53,0.638,0.949,49.6,84.3,WARNING,Imbalance
31.08,0.271,0.411,81.8,95.1,HEALTHY,Healthy
29.75,0.28,0.425,81.2,95.0,HEALTHY,Healthy
40.69,0.372,0.599,61.8,86.5,WARNING,Misalignment
43.93,0.39,0.623,53.5,82.3,WARNING,Misalignment
29.42,0.212,0.32,85.8,96.2,HEALTHY,Healthy
33.32,0.223,0.336,85.0,96.0,HEALTHY,Healthy
39.34,0.547,0.818,53.9,85.0,WARNING,Imbalance
54.92,0.675,1.209,7.4,64.0,CRITICAL,Critical
33.24,0.179,0.272,88.0,96.8,HEALTHY,Healthy
35.91,0.265,0.399,80.2,94.1,HEALTHY,Healthy
32.4,0.205,0.311,86.2,96.3,HEALTHY,Healthy
31.78,0.163,0.248,89.0,97.1,HEALTHY,Healthy
40.14,0.476,0.752,56.1,85.3,WARNING,Misalignment
30.23,0.284,0.43,80.9,94.9,HEALTHY,Healthy
30.68,0.276,0.417,81.5,95.0,HEALTHY,Healthy
29.35,0.228,0.348,84.6,95.9,HEALTHY,Healthy
28.91,0.188,0.286,87.3,96.6,HEALTHY,Healthy
34.36,0.18,0.275,87.8,96.8,HEALTHY,Healthy
31.89,0.266,0.401,82.1,95.2,HEALTHY,Healthy
32.51,0.236,0.357,84.1,95.8,HEALTHY,Healthy
31.18,0.226,0.343,84.8,95.9,HEALTHY,Healthy
43.83,0.399,0.639,53.1,82.2,WARNING,Misalignment
33.68,0.196,0.299,86.8,96.5,HEALTHY,Healthy
50.2,0.636,1.105,21.2,70.3,CRITICAL,Critical
32.02,0.169,0.256,88.6,97.0,HEALTHY,Healthy
38.73,0.532,0.795,56.2,85.9,WARNING,Imbalance
39.07,0.335,0.512,68.4,89.1,WARNING,Bearing
32.96,0.24,0.361,83.9,95.7,HEALTHY,Healthy
37.94,0.602,0.906,53.1,85.6,WARNING,Imbalance
42.57,0.422,0.674,54.3,83.3,WARNING,Misalignment
37.89,0.53,0.784,58.3,87.0,WARNING,Imbalance
30.76,0.205,0.313,86.2,96.3,HEALTHY,Healthy
35.4,0.212,0.324,84.8,95.7,HEALTHY,Healthy
33.56,0.281,0.425,81.1,94.9,HEALTHY,Healthy
34.27,0.255,0.387,82.9,95.4,HEALTHY,Healthy
32.76,0.281,0.424,81.1,94.9,HEALTHY,Healthy
37.55,0.526,0.777,59.3,87.5,WARNING,Imbalance
29.05,0.206,0.314,86.1,96.3,HEALTHY,Healthy
38.9,0.58,0.854,52.9,84.9,WARNING,Imbalance
40.73,0.338,0.526,64.4,87.0,WARNING,Bearing
31.0,0.291,0.444,80.4,94.8,HEALTHY,Healthy
31.39,0.167,0.252,88.8,97.0,HEALTHY,Healthy
33.68,0.292,0.44,80.4,94.7,HEALTHY,Healthy
29.74,0.209,0.319,85.9,96.2,HEALTHY,Healthy
54.26,0.718,1.224,6.9,64.0,CRITICAL,Critical
35.85,0.179,0.272,86.1,95.8,HEALTHY,Healthy
39.72,0.41,0.633,61.8,86.9,WARNING,Bearing
43.41,0.353,0.573,57.1,83.6,WARNING,Misalignment
28.11,0.268,0.406,82.0,95.2,HEALTHY,Healthy
43.75,0.381,0.614,54.4,82.6,WARNING,Misalignment
35.58,0.252,0.378,81.9,94.8,HEALTHY,Healthy
35.34,0.292,0.438,79.7,94.3,HEALTHY,Healthy
30.12,0.276,0.415,81.5,95.0,HEALTHY,Healthy
33.52,0.22,0.336,85.2,96.0,HEALTHY,Healthy
31.66,0.279,0.422,81.2,95.0,HEALTHY,Healthy
35.6,0.193,0.293,85.7,95.8,HEALTHY,Healthy
50.5,0.665,1.168,18.3,69.4,CRITICAL,Critical
38.95,0.408,0.629,63.7,87.9,WARNING,Bearing
35.91,0.212,0.32,83.8,95.1,HEALTHY,Healthy
43.05,0.363,0.588,57.2,83.8,WARNING,Misalignment
29.18,0.267,0.405,82.0,95.2,HEALTHY,Healthy
40.38,0.324,0.504,66.1,87.7,WARNING,Bearing
29.23,0.167,0.254,88.7,97.0,HEALTHY,Healthy
39.33,0.519,0.766,55.9,85.5,WARNING,Imbalance
33.09,0.301,0.455,79.8,94.6,HEALTHY,Healthy
40.02,0.351,0.575,64.6,87.7,WARNING,Misalignment
35.14,0.639,0.943,57.2,88.3,WARNING,Imbalance
28.46,0.163,0.248,89.0,97.1,HEALTHY,Healthy
34.23,0.306,0.461,79.5,94.5,HEALTHY,Healthy
33.49,0.228,0.344,84.7,95.9,HEALTHY,Healthy
34.48,0.282,0.427,81.1,94.9,HEALTHY,Healthy
33.95,0.26,0.393,82.5,95.3,HEALTHY,Healthy
39.76,0.349,0.539,65.8,88.0,WARNING,Bearing
29.33,0.271,0.408,81.8,95.1,HEALTHY,Healthy
30.43,0.28,0.423,81.2,95.0,HEALTHY,Healthy
35.01,0.183,0.277,87.7,96.7,HEALTHY,Healthy
43.87,0.418,0.665,51.8,81.8,WARNING,Misalignment
39.7,0.402,0.645,62.0,87.1,WARNING,Misalignment
33.95,0.241,0.365,83.8,95.7,HEALTHY,Healthy
53.85,0.695,1.172,9.6,64.9,CRITICAL,Critical
31.83,0.202,0.306,86.4,96.4,HEALTHY,Healthy
35.83,0.534,0.791,62.6,89.4,WARNING,Imbalance
31.17,0.164,0.249,88.9,97.0,HEALTHY,Healthy
35.66,0.613,0.906,57.7,88.2,WARNING,Imbalance
37.7,0.63,0.933,52.1,85.4,WARNING,Imbalance
31.1,0.25,0.38,83.2,95.5,HEALTHY,Healthy
34.21,0.261,0.396,82.4,95.3,HEALTHY,Healthy
32.1,0.208,0.318,85.9,96.3,HEALTHY,Healthy
33.73,0.172,0.262,88.4,96.9,HEALTHY,Healthy
40.85,0.308,0.474,66.3,87.4,WARNING,Bearing
37.67,0.588,0.869,55.0,86.2,WARNING,Imbalance
50.51,0.696,1.172,17.0,68.9,CRITICAL,Critical
39.77,0.387,0.622,62.8,87.3,WARNING,Misalignment
39.18,0.395,0.631,63.7,87.9,WARNING,Misalignment
39.72,0.391,0.601,63.1,87.3,WARNING,Bearing
43.79,0.435,0.689,50.9,81.6,WARNING,Misalignment
37.55,0.386,0.593,68.3,90.0,WARNING,Bearing
43.54,0.383,0.615,54.8,82.9,WARNING,Misalignment
34.25,0.207,0.312,86.1,96.3,HEALTHY,Healthy
35.99,0.162,0.246,86.9,95.9,HEALTHY,Healthy
41.77,0.431,0.687,55.5,84.1,WARNING,Misalignment
35.79,0.242,0.366,82.0,94.7,HEALTHY,Healthy
31.52,0.185,0.281,87.6,96.7,HEALTHY,Healthy
32.81,0.242,0.366,83.7,95.6,HEALTHY,Healthy
29.52,0.262,0.396,82.4,95.3,HEALTHY,Healthy
48.2,0.565,0.889,32.4,74.0,CRITICAL,Misalignment
42.04,0.417,0.665,55.8,84.0,WARNING,Misalignment
30.15,0.271,0.411,81.8,95.1,HEALTHY,Healthy
31.8,0.193,0.293,87.0,96.5,HEALTHY,Healthy
37.68,0.602,0.903,53.8,85.9,WARNING,Imbalance
31.24,0.164,0.249,89.0,97.0,HEALTHY,Healthy
29.55,0.262,0.397,82.4,95.3,HEALTHY,Healthy
28.77,0.184,0.28,87.6,96.7,HEALTHY,Healthy
40.77,0.375,0.603,61.4,86.3,WARNING,Misalignment
29.5,0.223,0.338,85.0,96.0,HEALTHY,Healthy
33.13,0.172,0.26,88.5,96.9,HEALTHY,Healthy
33.35,0.244,0.369,83.6,95.6,HEALTHY,Healthy
29.45,0.285,0.43,80.9,94.9,HEALTHY,Healthy
30.34,0.236,0.356,84.2,95.8,HEALTHY,Healthy
31.86,0.292,0.442,80.4,94.7,HEALTHY,Healthy
31.04,0.233,0.354,84.3,95.8,HEALTHY,Healthy
33.03,0.25,0.379,83.2,95.5,HEALTHY,Healthy
30.31,0.256,0.388,82.8,95.4,HEALTHY,Healthy
36.4,0.559,0.828,59.7,88.3,WARNING,Imbalance
33.16,0.278,0.42,81.3,95.0,HEALTHY,Healthy
54.94,0.644,1.098,10.6,64.5,CRITICAL,Critical
32.35,0.151,0.23,89.8,97.3,HEALTHY,Healthy
28.99,0.205,0.309,86.2,96.3,HEALTHY,Healthy
31.3,0.27,0.407,81.9,95.1,HEALTHY,Healthy
40.94,0.413,0.632,59.0,85.4,WARNING,Bearing
35.88,0.267,0.405,80.1,94.1,HEALTHY,Healthy
53.81,0.63,1.088,13.8,66.1,CRITICAL,Critical
53.41,0.686,1.167,11.1,65.6,CRITICAL,Critical
33.35,0.291,0.438,80.5,94.8,HEALTHY,Healthy
29.6,0.268,0.403,82.0,95.2,HEALTHY,Healthy
32.06,0.265,0.4,82.2,95.2,HEALTHY,Healthy
30.93,0.24,0.364,83.8,95.7,HEALTHY,Healthy
35.18,0.59,0.871,60.3,89.2,WARNING,Imbalance
33.27,0.282,0.425,81.0,94.9,HEALTHY,Healthy
30.2,0.278,0.42,81.3,95.0,HEALTHY,Healthy
39.36,0.341,0.559,66.7,88.6,WARNING,Misalignment
53.37,0.711,1.237,8.9,65.2,CRITICAL,Critical
31.99,0.258,0.389,82.7,95.4,HEALTHY,Healthy
30.0,0.263,0.397,82.4,95.3,HEALTHY,Healthy
30.67,0.217,0.33,85.4,96.1,HEALTHY,Healthy
30.43,0.223,0.339,85.0,96.0,HEALTHY,Healthy
34.23,0.278,0.421,81.3,95.0,HEALTHY,Healthy
28.12,0.212,0.321,85.8,96.2,HEALTHY,Healthy
40.83,0.331,0.511,64.7,87.1,WARNING,Bearing
35.22,0.292,0.439,79.9,94.5,HEALTHY,Healthy
29.79,0.169,0.257,88.6,97.0,HEALTHY,Healthy
34.11,0.187,0.284,87.4,96.6,HEALTHY,Healthy
39.18,0.307,0.477,69.9,89.5,WARNING,Bearing
51.52,0.675,1.174,15.5,68.0,CRITICAL,Critical
38.21,0.355,0.547,68.9,89.7,WARNING,Bearing
33.68,0.292,0.441,80.4,94.7,HEALTHY,Healthy
37.2,0.674,0.999,50.2,85.2,WARNING,Imbalance
31.35,0.232,0.352,84.4,95.8,HEALTHY,Healthy
38.18,0.598,0.884,53.2,85.4,WARNING,Imbalance
33.67,0.22,0.334,85.2,96.0,HEALTHY,Healthy
41.73,0.351,0.57,60.9,85.6,WARNING,Misalignment
33.64,0.302,0.456,79.7,94.6,HEALTHY,Healthy
31.79,0.198,0.301,86.7,96.4,HEALTHY,Healthy
48.15,0.574,0.98,30.5,73.9,CRITICAL,Misalignment
31.21,0.287,0.433,80.7,94.8,HEALTHY,Healthy
34.06,0.28,0.421,81.2,95.0,HEALTHY,Healthy
34.23,0.269,0.407,81.9,95.1,HEALTHY,Healthy
30.28,0.218,0.331,85.3,96.1,HEALTHY,Healthy
33.48,0.228,0.346,84.7,95.9,HEALTHY,Healthy
30.54,0.167,0.254,88.8,97.0,HEALTHY,Healthy
31.55,0.294,0.443,80.3,94.7,HEALTHY,Healthy
41.13,0.371,0.599,60.9,86.0,WARNING,Misalignment
33.47,0.248,0.379,83.3,95.5,HEALTHY,Healthy
30.12,0.244,0.371,83.6,95.6,HEALTHY,Healthy
38.7,0.625,0.923,50.3,84.3,WARNING,Imbalance
29.64,0.275,0.417,81.5,95.0,HEALTHY,Healthy
34.48,0.243,0.368,83.7,95.6,HEALTHY,Healthy
40.14,0.351,0.571,64.4,87.5,WARNING,Misalignment
34.12,0.192,0.294,87.0,96.5,HEALTHY,Healthy
52.64,0.688,1.164,12.7,66.4,CRITICAL,Critical
33.6,0.209,0.317,85.9,96.2,HEALTHY,Healthy
34.77,0.241,0.363,83.8,95.7,HEALTHY,Healthy
31.14,0.269,0.407,81.9,95.2,HEALTHY,Healthy
34.48,0.173,0.265,88.3,96.9,HEALTHY,Healthy
40.48,0.334,0.542,64.8,87.4,WARNING,Misalignment
44.93,0.779,1.246,24.6,74.1,CRITICAL,Imbalance
52.15,0.663,1.132,15.4,67.5,CRITICAL,Critical
34.82,0.232,0.352,84.4,95.8,HEALTHY,Healthy
37.26,0.595,0.883,55.3,86.6,WARNING,Imbalance
39.96,0.358,0.552,64.8,87.6,WARNING,Bearing
35.81,0.287,0.434,78.9,93.9,HEALTHY,Healthy
33.34,0.254,0.384,82.9,95.4,HEALTHY,Healthy
36.97,0.587,0.887,56.2,87.1,WARNING,Imbalance
32.06,0.172,0.262,88.4,96.9,HEALTHY,Healthy
50.52,0.621,1.085,21.5,70.2,CRITICAL,Critical
33.41,0.245,0.37,83.5,95.6,HEALTHY,Healthy
39.0,0.61,0.902,50.6,84.2,WARNING,Imbalance
35.18,0.188,0.288,86.9,96.4,HEALTHY,Healthy
40.46,0.342,0.527,64.8,87.3,WARNING,Bearing
42.34,0.377,0.604,57.9,84.4,WARNING,Misalignment
29.33,0.218,0.33,85.4,96.1,HEALTHY,Healthy
33.11,0.287,0.436,80.7,94.8,HEALTHY,Healthy
35.91,0.263,0.399,80.3,94.2,HEALTHY,Healthy
29.01,0.174,0.266,88.3,96.9,HEALTHY,Healthy
29.18,0.217,0.329,85.4,96.1,HEALTHY,Healthy
35.9,0.219,0.334,83.3,95.0,HEALTHY,Healthy
50.3,0.676,1.139,18.8,69.5,CRITICAL,Critical
40.02,0.438,0.697,58.9,86.1,WARNING,Misalignment
35.11,0.294,0.443,80.0,94.6,HEALTHY,Healthy
53.65,0.738,1.249,7.0,64.3,CRITICAL,Critical
41.81,0.401,0.649,57.3,84.6,WARNING,Misalignment
34.89,0.183,0.279,87.7,96.7,HEALTHY,Healthy
42.47,0.442,0.701,53.3,83.1,WARNING,Misalignment
39.51,0.562,0.839,52.5,84.5,WARNING,Imbalance
28.84,0.232,0.351,84.4,95.8,HEALTHY,Healthy
35.05,0.187,0.284,87.3,96.6,HEALTHY,Healthy
35.76,0.651,0.964,54.9,87.4,WARNING,Imbalance
36.0,0.577,0.851,59.4,88.4,WARNING,Imbalance
40.17,0.368,0.597,63.1,87.2,WARNING,Misalignment
33.38,0.3,0.452,79.9,94.6,HEALTHY,Healthy
31.93,0.211,0.321,85.8,96.2,HEALTHY,Healthy
50.17,0.696,1.245,16.4,69.3,CRITICAL,Critical
36.0,0.17,0.26,86.3,95.7,HEALTHY,Healthy
39.54,0.381,0.624,63.5,87.7,WARNING,Misalignment
30.13,0.235,0.355,84.2,95.8,HEALTHY,Healthy
40.21,0.353,0.568,64.2,87.4,WARNING,Misalignment
33.86,0.214,0.324,85.6,96.1,HEALTHY,Healthy
41.82,0.432,0.68,55.5,84.0,WARNING,Bearing
29.34,0.273,0.413,81.6,95.1,HEALTHY,Healthy
32.58,0.195,0.298,86.8,96.5,HEALTHY,Healthy
34.8,0.164,0.248,89.0,97.1,HEALTHY,Healthy
37.29,0.371,0.57,69.9,90.6,WARNING,Bearing
42.51,0.407,0.652,55.5,83.7,WARNING,Misalignment
28.56,0.282,0.424,81.1,94.9,HEALTHY,Healthy
35.13,0.24,0.366,83.5,95.5,HEALTHY,Healthy
32.23,0.252,0.384,83.0,95.5,HEALTHY,Healthy
51.67,0.642,1.089,18.1,68.5,CRITICAL,Critical
37.93,0.391,0.601,67.1,89.4,WARNING,Bearing
28.95,0.175,0.268,88.2,96.9,HEALTHY,Healthy
39.95,0.388,0.596,62.9,87.1,WARNING,Bearing
34.49,0.268,0.405,82.0,95.2,HEALTHY,Healthy
39.23,0.535,0.799,54.9,85.3,WARNING,Imbalance
37.43,0.62,0.916,53.4,85.9,WARNING,Imbalance
29.14,0.258,0.389,82.7,95.4,HEALTHY,Healthy
33.41,0.256,0.385,82.8,95.4,HEALTHY,Healthy
34.7,0.269,0.406,81.9,95.2,HEALTHY,Healthy
35.03,0.201,0.306,86.4,96.4,HEALTHY,Healthy
42.43,0.407,0.648,55.7,83.8,WARNING,Misalignment
34.14,0.303,0.459,79.6,94.5,HEALTHY,Healthy
35.68,0.624,0.926,56.9,87.9,WARNING,Imbalance
29.25,0.178,0.27,88.0,96.8,HEALTHY,Healthy
28.51,0.185,0.279,87.6,96.7,HEALTHY,Healthy
32.89,0.159,0.244,89.2,97.1,HEALTHY,Healthy
33.98,0.155,0.237,89.5,97.2,HEALTHY,Healthy
31.96,0.232,0.351,84.4,95.8,HEALTHY,Healthy
33.8,0.207,0.312,86.1,96.3,HEALTHY,Healthy
40.98,0.4,0.64,59.3,85.6,WARNING,Misalignment
28.85,0.246,0.373,83.4,95.6,HEALTHY,Healthy
35.83,0.277,0.418,79.6,94.0,HEALTHY,Healthy
40.32,0.391,0.627,61.3,86.6,WARNING,Misalignment
31.87,0.195,0.3,86.8,96.5,HEALTHY,Healthy
48.49,0.597,0.935,29.6,73.1,CRITICAL,Bearing
29.42,0.241,0.366,83.8,95.7,HEALTHY,Healthy
32.62,0.17,0.259,88.6,96.9,HEALTHY,Healthy
36.58,0.573,0.845,58.4,87.8,WARNING,Imbalance
28.92,0.218,0.332,85.3,96.1,HEALTHY,Healthy
31.44,0.268,0.404,82.0,95.2,HEALTHY,Healthy
39.5,0.343,0.533,66.8,88.4,WARNING,Bearing
38.98,0.336,0.517,68.5,89.2,WARNING,Bearing
37.82,0.625,0.924,52.2,85.4,WARNING,Imbalance
30.9,0.249,0.379,83.2,95.5,HEALTHY,Healthy
41.45,0.453,0.72,54.7,84.1,WARNING,Misalignment
52.18,0.707,1.185,12.6,66.7,CRITICAL,Critical
49.36,0.518,0.877,31.9,73.4,CRITICAL,Misalignment
33.7,0.187,0.286,87.4,96.6,HEALTHY,Healthy
31.25,0.225,0.342,84.9,96.0,HEALTHY,Healthy
29.68,0.245,0.371,83.5,95.6,HEALTHY,Healthy
40.9,0.411,0.629,59.3,85.5,WARNING,Bearing
34.39,0.177,0.27,88.0,96.8,HEALTHY,Healthy
37.2,0.59,0.872,55.9,86.7,WARNING,Imbalance
32.68,0.168,0.256,88.7,97.0,HEALTHY,Healthy
33.43,0.154,0.236,89.6,97.2,HEALTHY,Healthy
42.52,0.372,0.602,57.8,84.3,WARNING,Misalignment
30.12,0.217,0.328,85.4,96.1,HEALTHY,Healthy
43.43,0.352,0.57,57.1,83.5,WARNING,Misalignment
31.31,0.174,0.264,88.3,96.9,HEALTHY,Healthy
35.52,0.174,0.266,87.1,96.3,HEALTHY,Healthy
34.62,0.252,0.384,83.0,95.5,HEALTHY,Healthy
28.89,0.222,0.338,85.0,96.0,HEALTHY,Healthy
36.17,0.58,0.86,58.7,88.2,WARNING,Imbalance
37.03,0.363,0.56,70.9,91.0,WARNING,Bearing
38.46,0.369,0.568,67.4,89.2,WARNING,Bearing
40.99,0.4,0.613,59.8,85.6,WARNING,Bearing
43.23,0.386,0.621,55.3,83.2,WARNING,Misalignment
28.31,0.194,0.294,86.9,96.5,HEALTHY,Healthy
40.24,0.424,0.675,59.3,86.1,WARNING,Misalignment
30.82,0.234,0.355,84.2,95.8,HEALTHY,Healthy
35.84,0.199,0.302,84.8,95.4,HEALTHY,Healthy
33.35,0.197,0.299,86.7,96.4,HEALTHY,Healthy
30.42,0.29,0.438,80.5,94.8,HEALTHY,Healthy
41.52,0.439,0.698,55.6,84.3,WARNING,Misalignment
32.57,0.283,0.427,81.0,94.9,HEALTHY,Healthy
31.11,0.191,0.289,87.2,96.6,HEALTHY,Healthy
43.74,0.437,0.698,50.7,81.6,WARNING,Misalignment
41.49,0.31,0.485,64.6,86.6,WARNING,Bearing
34.29,0.195,0.295,86.9,96.5,HEALTHY,Healthy
29.87,0.207,0.314,86.0,96.3,HEALTHY,Healthy
41.98,0.439,0.698,54.5,83.7,WARNING,Misalignment
28.53,0.235,0.355,84.2,95.8,HEALTHY,Healthy
38.43,0.575,0.849,54.2,85.5,WARNING,Imbalance
37.03,0.61,0.911,54.7,86.6,WARNING,Imbalance
38.92,0.395,0.611,64.6,88.2,WARNING,Bearing
40.28,0.366,0.565,63.6,87.1,WARNING,Bearing
34.57,0.211,0.32,85.8,96.2,HEALTHY,Healthy
34.42,0.232,0.352,84.4,95.8,HEALTHY,Healthy
39.76,0.405,0.625,62.1,87.0,WARNING,Bearing
32.46,0.211,0.321,85.8,96.2,HEALTHY,Healthy
36.3,0.641,0.955,54.3,86.9,WARNING,Imbalance
35.39,0.573,0.854,60.9,89.2,WARNING,Imbalance
33.82,0.166,0.253,88.8,97.0,HEALTHY,Healthy
32.29,0.186,0.282,87.5,96.6,HEALTHY,Healthy
35.79,0.184,0.28,85.9,95.8,HEALTHY,Healthy
34.07,0.295,0.444,80.2,94.7,HEALTHY,Healthy
31.34,0.202,0.308,86.4,96.4,HEALTHY,Healthy
33.92,0.259,0.391,82.6,95.3,HEALTHY,Healthy
39.79,0.445,0.711,58.9,86.2,WARNING,Misalignment
36.17,0.569,0.843,59.5,88.4,WARNING,Imbalance
32.32,0.288,0.437,80.6,94.8,HEALTHY,Healthy
40.72,0.419,0.642,59.1,85.6,WARNING,Bearing
41.43,0.393,0.604,59.3,85.2,WARNING,Bearing
32.17,0.216,0.329,85.4,96.1,HEALTHY,Healthy
43.0,0.383,0.615,56.0,83.5,WARNING,Misalignment
39.35,0.64,0.97,47.4,83.3,WARNING,Imbalance
33.45,0.249,0.375,83.3,95.5,HEALTHY,Healthy
33.75,0.278,0.421,81.3,95.0,HEALTHY,Healthy
35.13,0.157,0.241,89.1,97.0,HEALTHY,Healthy
35.5,0.171,0.26,87.4,96.3,HEALTHY,Healthy
30.49,0.169,0.261,88.5,97.0,HEALTHY,Healthy
37.3,0.528,0.782,59.7,87.7,WARNING,Imbalance
33.29,0.243,0.368,83.6,95.6,HEALTHY,Healthy
29.93,0.295,0.448,80.1,94.7,HEALTHY,Healthy
33.35,0.212,0.322,85.7,96.2,HEALTHY,Healthy
33.8,0.171,0.26,88.5,96.9,HEALTHY,Healthy
30.9,0.282,0.426,81.0,94.9,HEALTHY,Healthy
53.81,0.628,1.072,14.2,66.1,CRITICAL,Critical
29.63,0.18,0.274,87.9,96.8,HEALTHY,Healthy
31.61,0.212,0.322,85.7,96.2,HEALTHY,Healthy
39.25,0.362,0.585,65.6,88.4,WARNING,Misalignment
39.06,0.391,0.601,64.6,88.1,WARNING,Bearing
30.93,0.303,0.458,79.6,94.5,HEALTHY,Healthy
33.99,0.225,0.341,84.9,95.9,HEALTHY,Healthy
31.09,0.272,0.411,81.7,95.1,HEALTHY,Healthy
28.13,0.23,0.348,84.5,95.9,HEALTHY,Healthy
37.39,0.599,0.884,54.8,86.3,WARNING,Imbalance
35.09,0.243,0.367,83.5,95.5,HEALTHY,Healthy
51.26,0.629,1.074,19.7,69.2,CRITICAL,Critical
31.95,0.268,0.404,82.0,95.2,HEALTHY,Healthy
34.14,0.172,0.26,88.5,96.9,HEALTHY,Healthy
29.19,0.247,0.373,83.4,95.6,HEALTHY,Healthy
47.21,0.575,0.94,33.2,75.0,CRITICAL,Bearing
40.11,0.385,0.62,62.2,86.9,WARNING,Misalignment
31.31,0.179,0.273,87.9,96.8,HEALTHY,Healthy
34.33,0.182,0.277,87.7,96.7,HEALTHY,Healthy
31.41,0.163,0.246,89.1,97.1,HEALTHY,Healthy
32.02,0.307,0.463,79.4,94.5,HEALTHY,Healthy
33.66,0.219,0.333,85.3,96.1,HEALTHY,Healthy
41.24,0.399,0.637,58.9,85.3,WARNING,Misalignment
35.8,0.306,0.462,77.7,93.5,HEALTHY,Healthy
33.71,0.182,0.278,87.7,96.7,HEALTHY,Healthy
41.6,0.32,0.497,63.8,86.3,WARNING,Bearing
28.82,0.252,0.381,83.1,95.5,HEALTHY,Healthy
35.56,0.259,0.391,81.4,94.7,HEALTHY,Healthy
34.36,0.176,0.271,88.1,96.8,HEALTHY,Healthy
31.41,0.257,0.389,82.7,95.4,HEALTHY,Healthy
28.94,0.257,0.388,82.7,95.4,HEALTHY,Healthy
34.5,0.284,0.429,80.9,94.9,HEALTHY,Healthy
28.99,0.307,0.463,79.4,94.5,HEALTHY,Healthy
32.69,0.222,0.337,85.1,96.0,HEALTHY,Healthy
40.75,0.371,0.596,61.8,86.4,WARNING,Misalignment
34.23,0.262,0.398,82.3,95.3,HEALTHY,Healthy
33.43,0.197,0.299,86.7,96.5,HEALTHY,Healthy
34.38,0.177,0.267,88.1,96.8,HEALTHY,Healthy
34.96,0.169,0.257,88.6,97.0,HEALTHY,Healthy
35.19,0.167,0.253,88.4,96.8,HEALTHY,Healthy
28.2,0.228,0.346,84.7,95.9,HEALTHY,Healthy
